"","str_split(str_remove_all(x, "" ""), "","", simplify = TRUE).1","str_split(str_remove_all(x, "" ""), "","", simplify = TRUE).2","str_split(str_remove_all(x, "" ""), "","", simplify = TRUE).3","str_split(str_remove_all(x, "" ""), "","", simplify = TRUE).4","str_split(str_remove_all(x, "" ""), "","", simplify = TRUE).5","str_split(str_remove_all(x, "" ""), "","", simplify = TRUE).6"
"1",Recursoprópriodosfundadores,Amigosefamiliares,,,,
"2",Recursoprópriodosfundadores,,,,,
"3",Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"4",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"5",próprios,,,,,
"6",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,
"7",Recursoprópriodosfundadores,Amigosefamiliares,,,,
"8",Investidoranjo,VentureCapital,Recursoprópriodosfundadores,,,
"9",Recursoprópriodosfundadores,,,,,
"10",Recursopúblico,,,,,
"11",Recursopúblico,Financiamentodeinstituiçõesdepesquisa,,,,
"12",Recursopúblico,Recursoprópriodosfundadores,,,,
"13",Recursopúblico,VentureCapital,Recursoprópriodosfundadores,,,
"14",Investidoranjo,Recursoprópriodosfundadores,,,,
"15",Recursopúblico,Recursoprópriodosfundadores,,,,
"16",Recursopúblico,Financiamentodeinstituiçõesdepesquisa,Premiaçõesemcompetiçõesinternacionais,,,
"17",Recursoprópriodosfundadores,,,,,
"18",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"19",Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"20",Investidoranjo,CorporateVentureCapital,VentureCapital,Recursoprópriodosfundadores,,
"21",Recursopúblico,,,,,
"22",Investidoranjo,CorporateVentureCapital,VentureCapital,Recursoprópriodosfundadores,,
"23",Recursopúblico,Recursoprópriodosfundadores,,,,
"24",Recursoprópriodosfundadores,Empresasparceiras,,,,
"25",Investidoranjo,Recursoprópriodosfundadores,,,,
"26",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,,,
"27",Recursoprópriodosfundadores,,,,,
"28",Recursoprópriodosfundadores,,,,,
"29",VentureCapital,Recursoprópriodosfundadores,AceleradoraWOW,,,
"30",Investidoranjo,Amigosefamiliares,,,,
"31",Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,,
"32",Recursopúblico,Recursoprópriodosfundadores,,,,
"33",Recursoprópriodosfundadores,,,,,
"34",Recursoprópriodosfundadores,,,,,
"35",Recursopúblico,Investidoranjo,CorporateVentureCapital,VentureCapital,Recursoprópriodosfundadores,
"36",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,
"37",Recursoprópriodosfundadores,,,,,
"38",Recursoprópriodosfundadores,,,,,
"39",Recursoprópriodosfundadores,,,,,
"40",Investidoranjo,VentureCapital,Recursoprópriodosfundadores,,,
"41",Recursopúblico,VentureCapital,Recursoprópriodosfundadores,Amigosefamiliares,,
"42",Investidoranjo,Recursoprópriodosfundadores,,,,
"43",Recursopúblico,CorporateVentureCapital,,,,
"44",Investidoranjo,,,,,
"45",Recursopúblico,Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,,
"46",Recursopúblico,Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,,
"47",Recursopúblico,,,,,
"48",Recursopúblico,Investidoranjo,,,,
"49",Recursopúblico,Recursoprópriodosfundadores,,,,
"50",Amigosefamiliares,,,,,
"51",Recursopúblico,Recursoprópriodosfundadores,,,,
"52",Recursopúblico,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,,,
"53",Recursoprópriodosfundadores,,,,,
"54",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"55",proprios,,,,,
"56",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"57",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,
"58",Recursopúblico,Recursoprópriodosfundadores,,,,
"59",Recursopúblico,Financiamentodeinstituiçõesdepesquisa,,,,
"60",Recursoprópriodosfundadores,,,,,
"61",Recursoprópriodosfundadores,Biotechtown(seed),,,,
"62",Recursopúblico,Recursoprópriodosfundadores,,,,
"63",Recursopúblico,Recursoprópriodosfundadores,,,,
"64",Recursoprópriodosfundadores,,,,,
"65",Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"66",Investidoranjo,Recursoprópriodosfundadores,,,,
"67",Recursoprópriodosfundadores,,,,,
"68",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,,,
"69",Recursopúblico,Recursoprópriodosfundadores,,,,
"70",Recursopúblico,Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,,
"71",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"72",Recursoprópriodosfundadores,,,,,
"73",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"74",Investidoranjo,Recursoprópriodosfundadores,,,,
"75",Recursoprópriodosfundadores,,,,,
"76",Recursoprópriodosfundadores,,,,,
"77",Recursoprópriodosfundadores,,,,,
"78",Recursopúblico,CorporateVentureCapital,,,,
"79",Investidoranjo,Recursoprópriodosfundadores,,,,
"80",Investidoranjo,Recursoprópriodosfundadores,,,,
"81",Recursoprópriodosfundadores,,,,,
"82",Recursopúblico,,,,,
"83",Recursopúblico,NIH,,,,
"84",Recursoprópriodosfundadores,Amigosefamiliares,,,,
"85",Recursopúblico,,,,,
"86",Investidoranjo,CorporateVentureCapital,Amigosefamiliares,,,
"87",Investidoranjo,CorporateVentureCapital,VentureCapital,Recursoprópriodosfundadores,Amigosefamiliares,
"88",CorporateVentureCapital,VentureCapital,,,,
"89",Recursoprópriodosfundadores,,,,,
"90",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,,,
"91",Recursoprópriodosfundadores,Amigosefamiliares,,,,
"92",Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,
"93",Recursopúblico,Recursoprópriodosfundadores,,,,
"94",Investidoranjo,Recursoprópriodosfundadores,,,,
"95",Recursopúblico,Recursoprópriodosfundadores,,,,
"96",Investidoranjo,VentureCapital,Recursoprópriodosfundadores,,,
"97",Recursopúblico,CorporateVentureCapital,,,,
"98",Recursopúblico,,,,,
"99",Recursoprópriodosfundadores,,,,,
"100",Recursoprópriodosfundadores,,,,,
"101",Investidoranjo,Recursoprópriodosfundadores,Amigosefamiliares,,,
"102",Recursopúblico,,,,,
"103",Recursoprópriodosfundadores,Amigosefamiliares,,,,
"104",Recursopúblico,Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,,
"105",Recursopúblico,Investidoranjo,,,,
"106",Recursoprópriodosfundadores,,,,,
"107",VentureCapital,Recursoprópriodosfundadores,,,,
"108",Recursopúblico,Recursoprópriodosfundadores,,,,
"109",Amigosefamiliares,,,,,
"110",Recursoprópriodosfundadores,,,,,
"111",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"112",Amigosefamiliares,,,,,
"113",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,,
"114",Recursoprópriodosfundadores,,,,,
"115",Recursopúblico,Financiamentodeinstituiçõesdepesquisa,,,,
"116",Recursodaempresamãe,,,,,
"117",Recursoprópriodosfundadores,Vendas,,,,
"118",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,
"119",Investidoranjo,VentureCapital,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,
"120",Recursopúblico,VentureCapital,Recursoprópriodosfundadores,,,
"121",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"122",VentureCapital,Recursoprópriodosfundadores,,,,
"123",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"124",Recursopúblico,Recursoprópriodosfundadores,,,,
"125",Recursopúblico,,,,,
"126",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"127",Recursopúblico,Recursoprópriodosfundadores,,,,
"128",Recursopúblico,Investidoranjo,VentureCapital,Recursoprópriodosfundadores,,
"129",Recursopúblico,Recursoprópriodosfundadores,,,,
"130",Investidoranjo,,,,,
"131",Recursopúblico,Recursoprópriodosfundadores,,,,
"132",VentureCapital,,,,,
"133",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Amigosefamiliares,,
"134",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"135",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,
"136",Recursopúblico,VentureCapital,Recursoprópriodosfundadores,,,
"137",Recursoprópriodosfundadores,,,,,
"138",Recursopúblico,Recursoprópriodosfundadores,,,,
"139",Próprio,,,,,
"140",Investidoranjo,Recursoprópriodosfundadores,Financiamentobancário,,,
"141",Investidoranjo,Recursoprópriodosfundadores,,,,
"142",Recursoprópriodosfundadores,,,,,
"143",Recursopúblico,Recursoprópriodosfundadores,,,,
"144",Recursoprópriodosfundadores,,,,,
"145",Investidoranjo,VentureCapital,,,,
"146",Financiamentodeinstituiçõesdepesquisa,,,,,
"147",Recursoprópriodosfundadores,,,,,
"148",Recursopúblico,Recursoprópriodosfundadores,,,,
"149",Recursopúblico,Recursoprópriodosfundadores,,,,
"150",Recursopúblico,Investidoranjo,Financiamentodeinstituiçõesdepesquisa,InvestimentoMútuo,,
"151",Amigosefamiliares,Investimentonamodalidademediaforequity,,,,
"152",Recursopúblico,,,,,
"153",Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,,,
"154",Recursopúblico,Recursoprópriodosfundadores,Amigosefamiliares,,,
"155",Recursoprópriodosfundadores,,,,,
"156",Recursoprópriodosfundadores,,,,,
"157",Recursopúblico,,,,,
"158",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,
"159",Recursoprópriodosfundadores,,,,,
"160",Investidoranjo,,,,,
"161",Recursopúblico,Recursoprópriodosfundadores,,,,
"162",Investidoranjo,Recursoprópriodosfundadores,Amigosefamiliares,,,
"163",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"164",Investidoranjo,Recursoprópriodosfundadores,,,,
"165",Recursoprópriodosfundadores,,,,,
"166",Recursopúblico,,,,,
"167",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,
"168",Recursopúblico,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,,,
"169",Recursoprópriodosfundadores,Vendadeprodutoseserviços,,,,
"170",Recursoprópriodosfundadores,,,,,
"171",Amigosefamiliares,,,,,
"172",CorporateVentureCapital,,,,,
"173",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"174",Financiamentodeinstituiçõesdepesquisa,,,,,
"175",Recursoprópriodosfundadores,Aprópriareceitaauferidacomclientes.,,,,
"176",VentureCapital,,,,,
"177",Recursoprópriodosfundadores,,,,,
"178",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"179",Recursoprópriodosfundadores,,,,,
"180",Recursopúblico,,,,,
"181",Recursoprópriodosfundadores,,,,,
"182",Recursopúblico,CorporateVentureCapital,VentureCapital,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares
"183",Recursoprópriodosfundadores,,,,,
"184",Recursoprópriodosfundadores,,,,,
"185",Investidoranjo,Recursoprópriodosfundadores,,,,
"186",Recursoprópriodosfundadores,,,,,
"187",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"188",Recursoprópriodosfundadores,,,,,
"189",Investidoranjo,Recursoprópriodosfundadores,,,,
"190",Recursoprópriodosfundadores,,,,,
"191",Investidoranjo,Recursoprópriodosfundadores,,,,
"192",Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,Cliente/Bootstrapping.,,
"193",Recursopúblico,Recursoprópriodosfundadores,,,,
"194",Recursopúblico,Recursoprópriodosfundadores,,,,
"195",Recursoprópriodosfundadores,Amigosefamiliares,atualsócio,,,
"196",Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,,
"197",Investidoranjo,Recursoprópriodosfundadores,,,,
"198",Investidoranjo,Recursoprópriodosfundadores,linhasdecréditocomoDesenvolveSP,,,
"199",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,Amigosefamiliares,,
"200",Investidoranjo,,,,,
"201",Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,,,
"202",Investidoranjo,CorporateVentureCapital,VentureCapital,,,
"203",Financiamentodeinstituiçõesdepesquisa,Geraçãodereceitaprópriaatravésdeserviços.,,,,
"204",Recursopúblico,,,,,
"205",Recursopúblico,Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,
"206",Investidoranjo,VentureCapital,,,,
"207",Investidoranjo,Amigosefamiliares,,,,
"208",Recursoprópriodosfundadores,,,,,
"209",VentureCapital,Recursoprópriodosfundadores,,,,
"210",Recursopúblico,Recursoprópriodosfundadores,,,,
"211",Recursopúblico,Recursoprópriodosfundadores,,,,
"212",Recursopúblico,Financiamentodeinstituiçõesdepesquisa,,,,
"213",Recursoprópriodosfundadores,,,,,
"214",Recursoprópriodosfundadores,,,,,
"215",Recursopúblico,Recursoprópriodosfundadores,,,,
"216",Amigosefamiliares,Investimentopróprio,,,,
"217",Recursopúblico,,,,,
"218",Recursopúblico,,,,,
"219",Recursopúblico,Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,Amigosefamiliares,
"220",Recursoprópriodosfundadores,Amigosefamiliares,,,,
"221",Recursopúblico,Recursoprópriodosfundadores,,,,
"222",Recursoprópriodosfundadores,Amigosefamiliares,,,,
"223",Recursoprópriodosfundadores,,,,,
"224",Recursopúblico,Recursoprópriodosfundadores,,,,
"225",Investidoranjo,Recursoprópriodosfundadores,,,,
"226",Investidoranjo,Recursoprópriodosfundadores,,,,
"227",Recursoprópriodosfundadores,Financiamentodeinstituiçõesdepesquisa,,,,
"228",Investidoranjo,CorporateVentureCapital,Recursoprópriodosfundadores,,,
"229",CorporateVentureCapital,,,,,
"230",Recursopúblico,Recursoprópriodosfundadores,,,,
"231",Recursopúblico,Recursoprópriodosfundadores,,,,
"232",Recursopúblico,Investidoranjo,VentureCapital,,,
"233",Recursopúblico,Investidoranjo,Recursoprópriodosfundadores,Grant,,
